"Mageplaza Blog Home","Mageplaza Blog Home"
"Mageplaza Blog Posts","Mageplaza Blog Posts"
"Mageplaza Blog Categories","Mageplaza Blog Categories"
"Mageplaza Blog Tags","Mageplaza Blog Tags"
"Mageplaza Blog Topics","Mageplaza Blog Topics"
SEO,SEO
"Add Post Pages","Add Post Pages"
"Add Category Pages","Add Category Pages"
"Add Tag Pages","Add Tag Pages"
"Add Topic Pages","Add Topic Pages"
Frequency,Frequency
Priority,Priority
"Sort the pages <b>on your store only</b> according to their importance. Won't affect your site rankings among other websites. Valid values range from 0.0 to 1.0.","Sort the pages <b>on your store only</b> according to their importance. Won't affect your site rankings among other websites. Valid values range from 0.0 to 1.0."
